Airport_Name,Aircraft_Make_Model,Effect_Amount_of_damage,Flight_Date,Aircraft_Airline_Operator,Origin_State,Phase_of_flight,Wildlife_Size,Wildlife_Species,Time_of_day,Cost_Other,Cost_Repair,Cost_Total__,Speed_IAS_in_knots
DALLAS/FORT WORTH INTL ARPT,MD-82,None,1990-10-24,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,140
CLEVELAND-HOPKINS INTL ARPT,MD-82,None,2002-06-15,AMERICAN AIRLINES,Ohio,Approach,Small,Unknown bird - small,Night,0,0,0,135
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-300,None,1996-08-29,US AIRWAYS*,Florida,Descent,Medium,Unknown bird - medium,Day,0,0,0,250
DALLAS/FORT WORTH INTL ARPT,A-319,None,2000-06-20,UNITED AIRLINES,Texas,Landing Roll,Small,Barn owl,Night,0,0,0,
HONOLULU INTL ARPT,C-141,None,1995-01-10,MILITARY,Hawaii,Approach,Medium,Unknown bird - medium,Day,0,0,0,128
LIHUE ARPT,DC-9,None,1999-04-07,HAWAIIAN AIR,Hawaii,Take-off run,Small,Unknown bird - small,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1992-09-19,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,220
ATLANTIC CITY INTL,PA-31 NAVAJO,None,1990-10-25,UNKNOWN,New Jersey,Descent,Medium,Unknown bird - medium,Night,0,0,0,185
PORTLAND INTL (OR),FOKKER F28 MK 4000,None,1996-08-19,HORIZON AIR,Oregon,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
PORTLAND INTL (OR),MD-82,None,1998-02-12,AMERICAN AIRLINES,Oregon,Climb,Medium,Mallard,Night,0,0,0,160
LAMBERT-ST LOUIS INTL,B-737-200,None,1991-08-01,US AIRWAYS*,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,140
RONALD REAGAN WASHINGTON NATL,B-737-300,None,1996-07-02,US AIRWAYS*,DC,Approach,Small,Unknown bird - small,Day,0,0,0,125
LOGAN INTL,DC-9,None,1995-11-04,US AIRWAYS*,Massachusetts,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
LOUISVILLE INTL ARPT,B-767-300,None,1997-09-18,UPS AIRLINES,Kentucky,Descent,Small,Unknown bird - small,Night,0,0,0,190
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,1999-10-19,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,170
SACRAMENTO INTL,FOKKER F28 MK 4000,None,2000-07-08,HORIZON AIR,California,Take-off run,Small,Unknown bird - small,Day,0,0,0,100
LOS ANGELES INTL,MD-82,None,1997-06-29,AMERICAN AIRLINES,California,Landing Roll,Small,Unknown bird - small,Day,0,0,0,120
DALLAS/FORT WORTH INTL ARPT,B-737-200,None,2000-12-25,DELTA AIR LINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,126
LOUISVILLE INTL ARPT,DC-9,None,1991-06-22,US AIRWAYS*,Kentucky,Landing Roll,Small,Mourning dove,Day,0,0,0,80
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1992-08-21,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,140
LIHUE ARPT,B-737,None,2001-07-16,ALOHA AIRLINES,Hawaii,Climb,Small,Unknown bird - small,Day,0,0,0,150
PHILADELPHIA INTL,B-737-300,None,1995-05-03,US AIRWAYS*,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,145
PHOENIX SKY HARBOR,B-737-300,None,2001-05-31,AMERICA WEST AIRLINES,Arizona,Landing Roll,Small,European starling,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,MD-83,None,1995-08-03,AMERICAN AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Day,0,0,0,100
JOHN F KENNEDY INTL,C-141B,None,2000-04-03,MILITARY,New York,Approach,Small,Unknown bird - small,Day,0,6014,6014,250
WILL ROGERS WORLD ARPT,FOKKER F100,None,1994-01-15,AMERICAN AIRLINES,Oklahoma,Take-off run,Small,Unknown bird - small,Day,0,0,0,130
PORTLAND INTL (OR),MD-80,None,2001-03-12,ALASKA AIRLINES,Oregon,Take-off run,Large,Great blue heron,Day,0,0,0,
HOUSTON-HOBBY,B-737-300,None,1990-09-03,SOUTHWEST AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,250
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,2002-05-23,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,150
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,None,2000-03-08,ATLANTIC COAST AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,185
LOGAN INTL,B-767-200,None,1994-11-29,AMERICAN AIRLINES,Massachusetts,Climb,Small,Unknown bird - small,Day,0,0,0,160
CHARLOTTE/DOUGLAS INTL ARPT,B-737-300,None,1997-11-18,US AIRWAYS*,North Carolina,Approach,Small,European starling,Day,0,0,0,130
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1995-09-18,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Dawn,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1992-06-24,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,SAAB-340,None,1993-04-26,COMAIR AIRLINES,Kentucky,Approach,Small,Unknown bird - small,Day,0,0,0,120
PORTLAND INTL (OR),DHC8 DASH 8,None,1998-03-18,HORIZON AIR,Oregon,Approach,Medium,Mallard,Dusk,0,0,0,
NASHVILLE INTL,B-727,None,1993-05-15,AMERICAN AIRLINES,Tennessee,Take-off run,Small,Unknown bird - small,Day,0,0,0,160
SACRAMENTO INTL,FOKKER F28 MK 1000,None,1999-12-11,HORIZON AIR,California,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
HONOLULU INTL ARPT,B-737,None,1990-05-16,ALOHA AIRLINES,Hawaii,Landing Roll,Large,Unknown bird - large,Day,0,0,0,70
HOUSTON-HOBBY,B-737-500,None,1997-09-05,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Day,0,0,0,170
NEWARK LIBERTY INTL ARPT,MD-80,None,1995-11-02,CONTINENTAL AIRLINES,New Jersey,Take-off run,Small,Rock pigeon,Day,0,0,0,
RONALD REAGAN WASHINGTON NATL,DC-9-30,Minor,1991-01-31,US AIRWAYS*,DC,Landing Roll,Small,Rock pigeon,Day,0,0,0,85
GREATER PITTSBURGH,FOKKER F100,None,1999-07-24,US AIRWAYS*,Pennsylvania,Take-off run,Small,Unknown bird - small,Day,0,0,0,
ATLANTA INTL,B-767,None,1995-07-22,DELTA AIR LINES,Georgia,Climb,Small,Unknown bird - small,Day,0,0,0,160
DENVER INTL AIRPORT,B-727,None,2001-07-31,DELTA AIR LINES,Colorado,Take-off run,Small,Unknown bird - small,Dawn,0,0,0,
JOHN F KENNEDY INTL,L-1011,None,1992-10-06,TRANS WORLD AIRLINES,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,
SACRAMENTO INTL,MD-82,None,2002-06-08,AMERICAN AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,150
PHILADELPHIA INTL,AEROS SN601,None,1992-02-28,BUSINESS,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,130
LOGAN INTL,A-320,None,2000-05-12,US AIRWAYS*,Massachusetts,Climb,Medium,Unknown bird - medium,Day,0,0,0,160
CHICAGO O'HARE INTL ARPT,MD-82,None,1998-08-30,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,180
DALLAS/FORT WORTH INTL ARPT,MD-88,None,1992-08-05,DELTA AIR LINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
LIHUE ARPT,DC-9-50,None,1996-04-03,HAWAIIAN AIR,Hawaii,Climb,Small,Unknown bird - small,Dawn,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,MD-82,None,1992-08-10,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,160
LOGAN INTL,A-320,None,1995-05-25,NORTHWEST AIRLINES,Massachusetts,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
NASHVILLE INTL,MD-83,None,1991-10-07,AMERICAN AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Day,0,0,0,230
LIHUE ARPT,B-737-300,Minor,1993-01-20,ALOHA AIRLINES,Hawaii,Take-off run,Medium,Zebra dove,Day,0,0,0,120
BARKSDALE AIR FORCE BASE ARPT,A-10A,None,2002-05-13,MILITARY,Louisiana,Parked,Medium,Unknown bird or bat,Dawn,0,0,0,0
PORTLAND INTL (OR),B-767-300,None,1999-09-16,DELTA AIR LINES,Oregon,Approach,Large,Canada goose,Night,0,0,0,
MINNEAPOLIS-ST PAUL INTL,DC-9,None,1997-04-10,NORTHWEST AIRLINES,Minnesota,Approach,Medium,Unknown bird - medium,Night,0,0,0,160
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,2000-01-08,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,110
GREATER PITTSBURGH,FOKKER F28 MK 4000,None,1995-11-08,US AIRWAYS*,Pennsylvania,Climb,Large,Unknown bird - large,Night,0,0,0,210
NEW ORLEANS INTL,B-727-200,None,1997-02-20,DELTA AIR LINES,Louisiana,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,120
JOHN F KENNEDY INTL,MD-88,None,1998-10-22,DELTA AIR LINES,New York,Approach,Small,Unknown bird - small,Night,0,0,0,240
CHICAGO O'HARE INTL ARPT,DC-8-61,None,1998-09-17,ABX AIR,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,
AUSTIN-BERGSTROM INTL,B-737-200,None,1995-05-03,SOUTHWEST AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Day,0,0,0,140
HONOLULU INTL ARPT,PA-28,None,2001-11-29,BUSINESS,Hawaii,Landing Roll,Small,Pacific golden-plover,Day,0,0,0,
NEW ORLEANS INTL,MD-80,None,2000-08-18,AMERICAN AIRLINES,Louisiana,Climb,Medium,Unknown bird - medium,Day,0,0,0,
ORLANDO INTL,B-737-300,None,1997-06-02,US AIRWAYS*,Florida,Approach,Small,Unknown bird - small,Day,0,0,0,150
SALT LAKE CITY INTL,B-737-300,None,1998-07-29,DELTA AIR LINES,Utah,Climb,Small,Unknown bird - small,Day,0,0,0,160
SAN FRANCISCO INTL ARPT,B-737-500,None,2000-04-12,UNITED AIRLINES,California,Approach,Small,Killdeer,Day,0,1336,1336,
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,Substantial,1998-10-19,AMERICAN AIRLINES,Texas,Climb,Large,Turkey vulture,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,1992-10-03,AMERICAN AIRLINES,Texas,Descent,Small,Unknown bird - small,Day,0,0,0,250
WASHINGTON DULLES INTL ARPT,LEARJET-31,None,1996-06-15,ATLANTIC COAST AIRLINES,DC,Approach,Small,Unknown bird - small,Day,0,0,0,210
ATLANTA INTL,DC-9-30,None,1999-02-03,AIRTRAN AIRWAYS,Georgia,Climb,Medium,Unknown bird - medium,Night,0,0,0,200
METRO OAKLAND INTL,B-737-200,Minor,1995-03-01,DELTA AIR LINES,California,Descent,Medium,Unknown bird - medium,Night,0,0,0,250
PORTLAND INTL (OR),MD-80,None,2000-12-12,ALASKA AIRLINES,Oregon,Landing Roll,Small,Mourning dove,Dawn,0,0,0,
SAN FRANCISCO INTL ARPT,B-737-300,None,1998-08-13,UNITED AIRLINES,California,Take-off run,Small,Rock pigeon,Dusk,0,0,0,100
CHICAGO O'HARE INTL ARPT,MD-82,None,1999-06-01,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,180
NEW ORLEANS INTL,B-737,None,1998-10-26,SOUTHWEST AIRLINES,Louisiana,Approach,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-737-300,None,2000-06-23,UNITED AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
EPPLEY AIRFIELD,HAWKER 1000,None,2002-06-23,BUSINESS,Nebraska,Climb,Small,American robin,Day,0,0,0,150
CHICAGO O'HARE INTL ARPT,MD-80,None,1996-02-24,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,150
LOS ANGELES INTL,MD-88,None,2000-10-10,AMERICAN AIRLINES,California,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
NASHVILLE INTL,BA-31 JETSTR,None,1992-08-05,AMERICAN EAGLE AIRLINES,Tennessee,Approach,Medium,Unknown bird - medium,Day,0,0,0,125
CHARLESTON AFB/INTL ARPT,C-17A,None,2001-08-31,MILITARY,South Carolina,Take-off run,Small,Cattle egret,Day,0,0,0,100
NEWARK LIBERTY INTL ARPT,BA-41 JETSTR,None,1996-09-19,ATLANTIC COAST AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,200
NEWARK LIBERTY INTL ARPT,MD-80,None,1999-06-01,CONTINENTAL AIRLINES,New Jersey,Landing Roll,Small,Unknown bird - small,Day,0,0,0,110
JOHN F KENNEDY INTL,B-747-400,None,2001-04-13,JAPAN AIRLINES,New York,Approach,Medium,Ring-billed gull,Day,0,0,0,
LAGUARDIA NY,DC-9-30,Minor,1991-01-06,US AIRWAYS*,New York,Approach,Large,Canada goose,Night,0,0,0,130
PHILADELPHIA INTL,DC-9-30,None,1992-11-07,US AIRWAYS*,Pennsylvania,Descent,Medium,Unknown bird - medium,Night,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,1996-07-09,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,120
KANSAS CITY INTL,MD-80,None,1990-07-16,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,140
LAMBERT-ST LOUIS INTL,A-319,None,2002-05-03,AMERICA WEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-737,None,1994-03-15,DELTA AIR LINES,Texas,Climb,Small,Unknown bird - small,Dawn,0,0,0,160
CHARLOTTE/DOUGLAS INTL ARPT,MD-80,None,2000-09-09,US AIRWAYS*,North Carolina,Climb,Medium,Unknown bird - medium,Night,0,0,0,210
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CL-RJ100/200,None,2000-06-20,COMAIR AIRLINES,Kentucky,Climb,Small,European starling,Day,0,0,0,150
WILL ROGERS WORLD ARPT,B-737-200,None,1992-05-17,SOUTHWEST AIRLINES,Oklahoma,Climb,Small,Unknown bird - small,Night,0,0,0,160
CHARLESTON AFB/INTL ARPT,C-141B,None,1994-09-22,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,128
DALLAS/FORT WORTH INTL ARPT,DC-10-10,None,1992-10-08,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,135
PORTLAND INTL (OR),DHC8 DASH 8,None,2001-03-25,HORIZON AIR,Oregon,Landing Roll,Small,European starling,Day,0,0,0,
DETROIT METRO WAYNE COUNTY ARPT,B-757-200,None,1999-03-15,NORTHWEST AIRLINES,Michigan,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
CHARLESTON AFB/INTL ARPT,C-17A,None,1996-09-18,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,130
LOUISVILLE INTL ARPT,B-747-1/200,None,2000-10-01,UPS AIRLINES,Kentucky,Approach,Small,Unknown bird - small,Dusk,0,0,0,141
KANSAS CITY INTL,B-727,None,1993-05-24,DELTA AIR LINES,Missouri,Approach,Medium,Unknown bird - medium,Day,0,0,0,125
EPPLEY AIRFIELD,B-737-300,None,1995-10-27,BUSINESS,Nebraska,Approach,Medium,Unknown bird - medium,Night,0,0,0,210
NEW ORLEANS INTL,B-737-300,None,1996-12-04,US AIRWAYS*,Louisiana,Take-off run,Medium,Red-tailed hawk,Day,0,0,0,
DETROIT METRO WAYNE COUNTY ARPT,A-320,None,2000-08-06,NORTHWEST AIRLINES,Michigan,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
METRO OAKLAND INTL,DC-10,None,2001-06-16,FEDEX EXPRESS,California,Climb,Medium,Unknown bird - medium,Night,0,0,0,
KANSAS CITY INTL,B-727,None,1995-07-06,NORTHWEST AIRLINES,Missouri,Take-off run,Small,Unknown bird - small,Day,0,0,0,
PORTLAND INTL (OR),DHC8 DASH 8,None,2002-01-18,HORIZON AIR,Oregon,Landing Roll,Small,Barn owl,Dawn,0,0,0,
LOGAN INTL,B-737-200,None,2001-11-14,DELTA AIR LINES,Massachusetts,Take-off run,Small,Unknown bird - small,Day,0,0,0,170
WASHINGTON DULLES INTL ARPT,DA-900,None,2001-04-18,BUSINESS,DC,Approach,Medium,Ring-billed gull,Day,0,0,0,125
SACRAMENTO INTL,BE-90  KING,Medium,1999-01-07,BUSINESS,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,160
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1996-11-11,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
INDIANAPOLIS INTL,BE-1900,None,2001-07-23,BUSINESS,Indiana,Landing Roll,Small,Mourning dove,Dawn,0,0,0,
NASHVILLE INTL,B-727-200,None,1993-08-13,AMERICAN AIRLINES,Tennessee,Take-off run,Small,Unknown bird - small,Day,0,0,0,110
METRO OAKLAND INTL,B-737-300,Minor,1991-09-26,UNKNOWN,California,Landing Roll,Large,Turkey vulture,Day,0,0,0,110
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,1997-07-11,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,130
DENVER INTL AIRPORT,A-320,Minor,1997-10-05,AMERICA WEST AIRLINES,Colorado,Approach,Small,Unknown bird - small,Night,0,0,0,
DENVER INTL AIRPORT,B-727-200,None,2000-06-08,UNITED AIRLINES,Colorado,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
AUSTIN-BERGSTROM INTL,B-727-200,None,2000-04-07,FEDEX EXPRESS,Texas,Climb,Small,Unknown bird - small,Night,0,0,0,230
BALTIMORE WASH INTL,DC-9-30,None,1993-08-01,US AIRWAYS*,Maryland,Approach,Small,Unknown bird - small,Day,0,0,0,150
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-200,None,1998-09-23,DELTA AIR LINES,Florida,Descent,Small,Unknown bird - small,Night,0,0,0,250
DALLAS/FORT WORTH INTL ARPT,B-757-200,None,2000-10-06,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,180
SACRAMENTO INTL,B-737-200,Minor,1999-11-21,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,46924,46924,
INDIANAPOLIS INTL,DC-10,None,2001-05-01,FEDEX EXPRESS,Indiana,Approach,Small,Unknown bird - small,Night,0,0,0,180
RONALD REAGAN WASHINGTON NATL,DHC8 DASH 8,None,1996-04-01,PIEDMONT AIRLINES,DC,Take-off run,Medium,Ring-billed gull,Day,0,0,0,
LIHUE ARPT,DC-9-50,None,1996-01-27,HAWAIIAN AIR,Hawaii,Approach,Small,Unknown bird - small,Day,0,0,0,140
CHICAGO O'HARE INTL ARPT,MD-83,None,1997-11-03,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Dusk,0,0,0,250
ORLANDO INTL,B-737-200,Minor,1995-03-15,AMERICA WEST AIRLINES,Florida,Climb,Large,Turkey vulture,Day,0,0,0,170
BALTIMORE WASH INTL,MD-80,None,1995-03-13,US AIRWAYS*,Maryland,Approach,Medium,Unknown bird - medium,Night,0,0,0,250
SAN ANTONIO INTL,MD-82,None,1993-09-25,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Dawn,0,0,0,150
SACRAMENTO INTL,B-737-300,None,1999-02-14,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,170
HOUSTON-HOBBY,B-737-300,None,1991-03-28,SOUTHWEST AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,160
MINETA SAN JOSE INTL,MD-80,None,1990-05-08,AMERICAN AIRLINES,California,Take-off run,Small,American robin,Day,0,0,0,135
PORTLAND INTL (OR),B-737-300,None,1998-10-07,UNITED AIRLINES,Oregon,Landing Roll,Medium,Red-tailed hawk,Night,0,0,0,
ATLANTA INTL,B-727-200,None,1997-09-18,DELTA AIR LINES,Georgia,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,125
CHARLOTTE/DOUGLAS INTL ARPT,EMB-145,Medium,2000-11-15,CONTINENTAL AIRLINES,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,B-737-400,None,2002-07-13,US AIRWAYS*,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,MD-80,None,2000-10-19,AMERICAN AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,130
HOUSTON-HOBBY,B-727-200,None,1993-08-28,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,132
RONALD REAGAN WASHINGTON NATL,B-737-300,Minor,1994-08-21,US AIRWAYS*,DC,Landing Roll,Large,Unknown bird - large,Night,0,0,0,140
LAMBERT-ST LOUIS INTL,MD-82,None,2001-08-04,TRANS WORLD AIRLINES,Missouri,Take-off run,Small,American kestrel,Day,0,0,0,110
EPPLEY AIRFIELD,MD-87,None,1990-06-26,UPS AIRLINES,Nebraska,Approach,Small,Unknown bird - small,Day,0,0,0,140
SALT LAKE CITY INTL,B-757-200,Minor,1997-03-11,DELTA AIR LINES,Utah,Approach,Medium,Unknown bird - medium,Day,0,0,0,
GREATER PITTSBURGH,BA-31 JETSTR,None,1993-07-07,BUSINESS,Pennsylvania,Approach,Small,Rock pigeon,Dawn,0,0,0,120
WASHINGTON DULLES INTL ARPT,DC-9,None,2001-02-16,TRANS WORLD AIRLINES,DC,Descent,Medium,Ring-billed gull,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,MD-11,None,2001-11-11,FEDEX EXPRESS,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,200
PORTLAND INTL (OR),B-737-400,None,2002-07-16,ALASKA AIRLINES,Oregon,Approach,Small,Unknown bird - small,Day,0,0,0,130
CHICAGO MIDWAY INTL ARPT,BA-31 JETSTR,Minor,1995-10-08,BUSINESS,Illinois,Approach,Small,Unknown bird - small,Day,6099,4574,10673,120
LOUISVILLE INTL ARPT,MD-88,None,1993-08-31,DELTA AIR LINES,Kentucky,Landing Roll,Small,Unknown bird - small,Day,0,0,0,100
EPPLEY AIRFIELD,CL-RJ100/200,None,1999-07-16,COMAIR AIRLINES,Nebraska,Landing Roll,Small,Unknown bird - small,Day,0,0,0,105
LIHUE ARPT,BELL-206,Substantial,1990-09-23,BUSINESS,Hawaii,Descent,Medium,Unknown bird - medium,Day,0,0,0,60
PORTLAND INTL (OR),B-737-300,Minor,1995-10-31,UNITED AIRLINES,Oregon,Landing Roll,Medium,American crow,Day,0,0,0,
TETERBORO AIRPORT,DA-50 FALCON,None,1997-10-01,BUSINESS,New Jersey,Approach,Small,Unknown bird - small,Night,0,0,0,145
HONOLULU INTL ARPT,DHC8 DASH 8,None,1998-09-02,BUSINESS,Hawaii,Take-off run,Small,Unknown bird - small,Dusk,0,0,0,80
SACRAMENTO INTL,B-737-200,Substantial,1991-02-24,AMERICA WEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,130
EPPLEY AIRFIELD,B-757-200,None,2001-04-05,UPS AIRLINES,Nebraska,Approach,Small,Unknown bird - small,Night,0,0,0,114
GEORGE BUSH INTERCONTINENTAL,EMB-120,None,1990-09-21,UNKNOWN,Texas,Climb,Small,Rock pigeon,Day,0,0,0,110
CLEVELAND-HOPKINS INTL ARPT,DC-9,None,1993-09-28,NORTHWEST AIRLINES,Ohio,Climb,Small,Killdeer,Day,0,0,0,130
LOUISVILLE INTL ARPT,B-727,None,1997-10-01,UPS AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,
METRO OAKLAND INTL,B-727,None,1994-12-06,UNITED AIRLINES,California,Take-off run,Large,Canada goose,Day,0,0,0,120
SALT LAKE CITY INTL,B-737-500,None,2000-07-01,UNITED AIRLINES,Utah,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
LOUISVILLE INTL ARPT,B-727,None,1992-05-15,AMERICAN AIRLINES,Kentucky,Descent,Medium,Unknown bird - medium,Night,0,0,0,210
HOUSTON-HOBBY,B-737-500,None,1990-08-02,SOUTHWEST AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Day,0,0,0,110
SAN ANTONIO INTL,MD-82,None,2001-06-20,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,110
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1991-07-01,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,70
